imdb_id,script_id,title,year,gross (inflation-adjusted),link
tt0023622,5154,Trouble in Paradise,1932,,http://www.aellea.com/emruf3/tip.html
tt0024368,4677,Mystery of the Wax Museum,1933,,http://www.aellea.com/script/qWAX.htm
tt0025905,5147,Transatlantic Merry-Go-Round,1934,,http://www.aellea.com/emruf3/tm.html
tt0031679,4658,Mr. Smith Goes to Washington,1939,,http://www.dailyscript.com/scripts/Mr%20Smith%20Goes%20To%20Washington.txt
tt0031725,3016,Ninotchka,1939,45.0,http://www.dailyscript.com/scripts/Ninotchka.txt
tt0036027,4396,I Walked with a Zombie,1943,,http://www.dailyscript.com/scripts/i-walked_with_a_zombie.html
tt0036104,4520,The Leopard Man,1943,,http://www.dailyscript.com/scripts/theleopardman.htm
tt0036341,4940,The Seventh Victim,1943,,http://www.dailyscript.com/scripts/SeventhVictim.htm
tt0036733,4064,The Curse of the Cat People,1944,,http://www.dailyscript.com/scripts/cursecat.htm
tt0037549,3949,The Body Snatcher,1945,,http://www.dailyscript.com/scripts/TheBodySnatcher.htm
tt0037820,4437,Isle of the Dead,1945,,http://www.dailyscript.com/scripts/isleofthedead.htm
tt0038650,2642,It's a Wonderful Life,1946,,http://www.aellea.com/script/itsawonderfullife.txt
tt0043014,3466,Sunset Blvd.,1950,,http://www.dailyscript.com/scripts/sunset_bld_3_21_49.html
tt0046359,5022,Stalag 17,1953,,http://www.dailyscript.com/scripts/Stalag%2017.txt
tt0046534,5197,The War of the Worlds,1953,,http://www.scifiscripts.com/scripts/WARWORLDS.txt
tt0047296,4745,On the Waterfront,1954,185.0,http://www.dailyscript.com/scripts/onthewaterfront.html
tt0047443,4906,Salt of the Earth,1954,,http://www.aellea.com/script/salt.txt
tt0054997,4390,The Hustler,1961,,"http://www.dailyscript.com/scripts/Hustler,+The.txt"
tt0055601,5189,Viridiana,1961,,http://www.aellea.com/script/viridiana.txt
tt0058414,4721,Nothing But a Man,1964,,http://www.aellea.com/emruf3/nbam.html
tt0060397,4198,Fantastic Voyage,1966,,http://www.scifiscripts.com/scripts/fantasticvoyager.txt
tt0061512,4041,Cool Hand Luke,1967,,http://www.aellea.com/script/cool_hand_luke.html
tt0067309,2713,Klute,1971,,http://www.dailyscript.com/scripts/klute.html
tt0068638,2387,The Getaway,1972,138.0,http://www.dailyscript.com/scripts/getaway.html
tt0069303,5003,Sounder,1972,,http://www.aellea.com/script/sounder.txt
tt0070047,4184,The Exorcist,1973,195.0,http://www.horrorlair.com/scripts/exorcist.html
tt0070379,4606,Mean Streets,1973,,http://www.dailyscript.com/scripts/meanstreet.html
tt0071562,4280,The Godfather: Part II,1974,266.0,http://www.dailyscript.com/scripts/godfather2.html
tt0072431,5254,Young Frankenstein,1974,401.0,http://www.horrorlair.com/scripts/young.txt
tt0073195,2666,Jaws,1975,1103.0,http://www.dailyscript.com/scripts/Jaws.txt
tt0074812,4543,Logan's Run,1976,102.0,http://www.dailyscript.com/scripts/Logans+Run.txt
tt0076729,4978,Smokey and the Bandit,1977,495.0,http://www.dailyscript.com/scripts/Smokey%20And%20The%20Bandit.txt
tt0079271,4333,Hardcore,1979,,http://www.dailyscript.com/scripts/Hardcore.txt
tt0079945,5025,Star Trek: The Motion Picture,1979,285.0,http://www.dailyscript.com/scripts/startrek01.html
